3,17:04:2016 14.23.09,597
1,22:02:2016 20.17.38,3551,0732,9521,201,2
3,22:08:2016 09.27.59,068
2,24:11:2016 02.55.51,019,28
1,04:12:2016 03.59.11,6488,7121,2644,104,2
3,01:09:2016 05.04.04,647
1,19:07:2016 11.35.42,6340,5760,5327,572,2
1,24:10:2016 01.35.58,3322,8354,1999,523,1
1,28:06:2016 01.04.31,4698,8180,7799,511,1
1,20:02:2016 04.30.49,7663,9501,5505,195,2
1,07:03:2016 03.05.12,4568,5434,2959,216,2
3,13:07:2016 07.31.50,421
3,15:05:2016 19.26.13,277
1,16:03:2016 05.51.32,0477,4762,9078,611,1
2,28:06:2016 00.27.04,166,12
4,11:04:2016 22.42.47,1
4,12:08:2016 08.59.35,1
1,02:02:2016 03.15.06,8273,7821,6268,259,1
1,24:03:2016 01.32.49,4408,2615,6414,208,1
2,01:06:2016 01.06.41,015,90
3,24:08:2016 07.12.01,979
4,11:02:2016 20.54.01,0
3,27:03:2016 09.40.04,868
4,05:05:2016 11.23.19,1
1,29:12:2016 10.40.36,7284,4095,3077,570,0
