2,12:11:2016 06.48.10,145,13
3,22:02:2016 13.07.31,100
3,31:06:2016 10.49.54,562
2,01:06:2016 17.52.49,124,05
1,26:10:2016 17.29.13,8235,7943,0332,406,1
1,08:09:2016 03.19.57,6962,9511,1022,854,1
3,26:01:2016 23.57.00,773
1,26:04:2016 16.22.57,6209,0140,2471,790,2
3,17:12:2016 05.13.23,084
2,11:09:2016 01.05.03,305,15
2,03:07:2016 12.44.46,231,05
1,03:01:2016 09.59.34,8860,0762,7022,390,1
3,15:05:2016 20.02.34,596
4,09:06:2016 20.10.18,0
1,18:12:2016 06.10.47,2600,4224,8377,241,0
2,30:10:2016 05.28.50,148,00
4,21:12:2016 06.45.49,0
2,02:03:2016 22.55.11,159,12
2,16:06:2016 14.11.27,282,90
3,08:04:2016 15.00.45,156
4,29:01:2016 20.49.50,1
4,25:08:2016 21.34.51,0
1,05:09:2016 18.00.24,0598,4225,5893,08,1
3,16:12:2016 06.06.20,138
4,08:12:2016 01.06.13,1
